"","V1","V2","V3"
"result.1",1029,0.65,0.85
"result.2",1191,0.7,0.9
"result.3",1245,0.6,0.8
"result.4",1285,0.7,0.95
"result.5",1328,0.65,0.9
"result.6",1387,0.65,0.9
"result.7",1703,0.65,0.9
"result.8",1933,0.85,0.95
"result.9",1935,0.4,0.85
"result.10",2086,0.65,0.95
"result.11",2130,0.85,0.95
"result.12",2173,0.7,0.9
"result.13",2211,0.4,0.9
"result.14",2228,0.85,0.95
"result.15",2298,0.4,0.9
"result.16",2317,0.85,0.95
"result.17",2321,0.85,0.95
"result.18",2368,0.5,0.95
"result.19",2606,0.6,0.95
"result.20",2703,0.6,0.95
"result.21",2720,0.85,0.9
"result.22",2829,0.8,0.95
"result.23",2954,0.8,0.95
"result.24",2957,0.8,0.95
"result.25",3022,0.8,0.95
"result.26",3140,0.75,0.9
"result.27",3637,0.7,0.9
"result.28",3711,0.75,0.9
"result.29",3850,0.5,0.95
"result.30",3936,0.4,0.7
"result.31",3955,0.75,0.9
"result.32",4090,0.85,0.95
"result.33",4231,0.85,0.9
"result.34",4246,0.5,0.95
"result.35",4759,0.7,0.9
"result.36",4839,0.75,0.9
"result.37",5034,0.85,0.9
"result.38",5320,0.4,0.55
"result.39",5806,0.85,0.95
"result.40",5811,0.85,0.95
"result.41",5940,0.4,0.8
"result.42",6460,0.85,0.95
"result.43",6855,0.75,0.95
"result.44",6957,0.4,0.9
"result.45",6975,0.7,0.9
"result.46",7001,0.85,0.95
"result.47",7123,0.8,0.9
"result.48",7182,0.55,0.55
"result.49",7211,0.7,0.85
"result.50",7402,0.6,0.85
"result.51",7646,0.4,0.9
"result.52",8292,0.85,0.95
"result.53",9833,0.45,0.8
"result.54",9941,0.5,0.95
"result.55",9967,0.4,0.75
"result.56",10058,0.5,0.9
"result.57",10395,0.8,0.95
"result.58",10424,0.4,0.8
"result.59",10511,NA,0.95
"result.60",10780,0.45,0.9
"result.61",12233,0.4,0.9
"result.62",12237,0.4,0.95
"result.63",12885,0.85,0.9
"result.64",13415,0.55,0.85
"result.65",13419,0.4,0.55
"result.66",14456,0.75,0.9
"result.67",14586,0.75,0.95
"result.68",15006,0.5,0.5
"result.69",15075,0.85,0.95
"result.70",15846,0.65,0.95
"result.71",15968,0.4,0.9
"result.72",15979,0.7,0.9
"result.73",16098,0.7,0.85
"result.74",16128,0.7,0.9
"result.75",16170,0.8,0.9
"result.76",16304,0.7,0.7
"result.77",16561,0.7,0.7
"result.78",16759,0.75,0.9
"result.79",16926,0.75,0.9
"result.80",17149,0.7,0.75
"result.81",17152,0.8,0.8
"result.82",17735,0.7,0.7
"result.83",17739,0.7,0.7
"result.84",17773,0.8,0.95
"result.85",18053,0.75,0.75
"result.86",18082,0.45,0.7
"result.87",18176,0.75,0.9
"result.88",18316,0.45,0.7
"result.89",18583,0.6,0.6
"result.90",18596,0.7,0.7
"result.91",18725,0.7,0.7
"result.92",18876,0.7,0.7
"result.93",19014,0.6,0.6
"result.94",19106,0.8,0.9
"result.95",19823,0.75,0.9
"result.96",20219,0.7,0.7
"result.97",20225,0.75,0.9
"result.98",20243,0.65,0.85
"result.99",20486,0.5,0.5
"result.100",21033,0.7,0.7
"result.101",22585,0.7,0.7
"result.102",22740,0.85,0.95
"result.103",23253,0.6,0.6
"result.104",23384,0.7,0.75
"result.105",23610,0.7,0.75
"result.106",23886,0.65,0.75
"result.107",23916,0.75,0.9
"result.108",24021,0.7,0.85
"result.109",24405,0.75,0.9
"result.110",24511,0.65,0.9
"result.111",24758,0.75,0.85
"result.112",24827,0.8,0.8
"result.113",24895,0.75,0.85
"result.114",24955,0.8,0.9
"result.115",26187,0.6,0.95
"result.116",26223,0.7,0.75
"result.117",26624,0.75,0.9
"result.118",26999,0.85,0.9
"result.119",27102,0.65,0.9
"result.120",27232,0.65,0.85
"result.121",27429,0.6,0.95
"result.122",27976,0.85,0.95
"result.123",28310,0.8,0.9
"result.124",28673,0.85,0.95
"result.125",28858,0.8,0.9
"result.126",29118,0.8,0.85
"result.127",29280,0.75,0.95
"result.128",29282,0.8,0.9
"result.129",29443,0.6,0.95
"result.130",29778,0.8,0.8
"result.131",29860,0.8,0.9
"result.132",29934,0.65,0.75
"result.133",30041,0.8,0.9
"result.134",30095,0.65,0.75
"result.135",30246,0.7,0.75
"result.136",30738,0.8,0.9
"result.137",30765,0.85,0.9
"result.138",31246,0.7,0.75
"result.139",31306,0.8,0.95
"result.140",31362,0.65,0.9
"result.141",31365,0.8,0.95
"result.142",31428,0.7,0.75
"result.143",31434,0.65,0.65
"result.144",31719,0.8,0.9
"result.145",31748,0.65,0.65
"result.146",31806,0.75,0.95
"result.147",31811,0.8,0.9
"result.148",31853,0.8,0.95
"result.149",31914,0.75,0.75
"result.150",32075,0.8,0.9
"result.151",32384,0.85,0.95
"result.152",32960,0.85,0.95
"result.153",33485,0.7,0.7
"result.154",33560,0.85,0.9
"result.155",34133,0.7,0.85
"result.156",34517,0.8,0.95
"result.157",34581,0.9,0.9
"result.158",34900,0.75,0.85
"result.159",34904,0.75,0.85
"result.160",35014,0.9,0.9
"result.161",35081,0.8,0.9
"result.162",35085,0.7,0.85
"result.163",35446,0.8,0.9
"result.164",36268,0.5,0.85
"result.165",36295,0.7,0.75
"result.166",36459,0.65,0.75
"result.167",37209,0.9,0.95
"result.168",37790,0.9,0.9
"result.169",37888,0.6,0.8
"result.170",38119,0.65,0.65
"result.171",38122,0.6,0.85
"result.172",38299,0.6,0.85
"result.173",38461,0.6,0.9
"result.174",38622,0.65,0.75
"result.175",38792,0.7,0.8
"result.176",38990,0.6,0.85
"result.177",39204,0.6,0.8
"result.178",39393,0.75,0.85
"result.179",39577,0.45,0.95
"result.180",39598,0.65,0.9
"result.181",39683,0.7,0.9
"result.182",39876,0.6,0.85
"result.183",40046,0.75,0.9
"result.184",40079,0.6,0.9
"result.185",40251,0.45,0.7
"result.186",40256,0.7,0.75
"result.187",40464,0.65,0.85
"result.188",41574,0.8,0.95
"result.189",41742,0.65,0.75
"result.190",41745,0.65,0.75
"result.191",41755,0.6,0.85
"result.192",42891,0.8,0.95
"result.193",42980,0.55,0.95
"result.194",43123,0.75,0.95
"result.195",43141,0.75,0.9
"result.196",43440,0.7,0.95
"result.197",43461,0.75,0.95
"result.198",44146,0.75,0.85
"result.199",44432,0.7,0.85
"result.200",45479,0.7,0.85
"result.201",45872,0.55,0.85
"result.202",45955,0.75,0.9
"result.203",45973,0.75,0.9
"result.204",46256,0.55,0.8
"result.205",46573,0.8,0.95
"result.206",46820,0.75,0.8
"result.207",48276,0.9,0.95
"result.208",48323,0.8,0.9
"result.209",48388,0.7,0.9
"result.210",48392,0.6,0.7
"result.211",48877,0.7,0.9
"result.212",49060,0.7,0.9
"result.213",49107,0.75,0.95
"result.214",49225,0.7,0.9
"result.215",49554,0.7,0.9
"result.216",49581,0.8,0.9
"result.217",49775,0.7,0.9
"result.218",50082,0.7,0.9
"result.219",50267,0.7,0.85
"result.220",50370,0.75,0.85
"result.221",50682,0.85,0.95
"result.222",50683,0.75,0.9
"result.223",50708,0.7,0.9
"result.224",50724,0.7,0.75
"result.225",51020,0.75,0.9
"result.226",51348,0.75,0.85
"result.227",51687,0.85,0.95
"result.228",51708,0.8,0.95
"result.229",51980,0.7,0.95
"result.230",53289,0.75,0.9
"result.231",53470,0.4,0.8
"result.232",53587,0.75,0.95
"result.233",53660,0.4,0.8
"result.234",53773,0.75,0.95
"result.235",54033,0.65,0.9
"result.236",54144,0.8,0.95
"result.237",54531,0.7,0.8
"result.238",54532,0.7,0.9
"result.239",54534,0.75,0.9
"result.240",54582,0.65,0.95
"result.241",54586,0.4,0.95
"result.242",54813,0.75,0.95
"result.243",55097,0.75,0.9
"result.244",55199,0.8,0.95
"result.245",55270,0.75,0.95
"result.246",55428,0.75,0.85
"result.247",55647,0.8,0.95
"result.248",55648,0.8,0.9
"result.249",55687,0.7,0.7
"result.250",56038,NA,0.65
"result.251",56217,0.6,0.85
"result.252",56387,0.7,0.8
"result.253",56506,0.6,0.7
"result.254",56563,0.7,0.95
"result.255",56651,0.8,0.9
"result.256",56688,NA,0.7
"result.257",56784,0.65,0.85
"result.258",56819,0.8,0.9
"result.259",56837,0.45,0.65
"result.260",56958,0.65,0.9
"result.261",57038,0.75,0.85
"result.262",57176,0.75,0.9
"result.263",57292,0.6,0.8
"result.264",57326,0.75,0.95
"result.265",57801,0.55,0.75
"result.266",57820,0.7,0.9
"result.267",57827,0.75,0.9
"result.268",57975,0.8,0.85
"result.269",58115,0.7,0.9
"result.270",58134,0.75,0.9
"result.271",58175,0.6,0.85
"result.272",58276,0.75,0.85
"result.273",58570,0.45,0.85
"result.274",58696,0.55,0.85
"result.275",58775,0.9,0.95
"result.276",59051,0.75,0.85
"result.277",59928,0.5,0.85
"result.278",60030,0.75,0.9
"result.279",60492,0.6,0.85
"result.280",60791,0.55,0.85
"result.281",61252,0.55,0.8
"result.282",61677,0.5,0.85
"result.283",61912,0.5,0.85
"result.284",62010,0.9,0.95
"result.285",62434,0.8,0.85
"result.286",62833,0.7,0.85
"result.287",63299,0.75,0.95
"result.288",63396,0.75,0.8
"result.289",63670,0.6,0.8
"result.290",63806,0.45,0.85
"result.291",63821,0.7,0.9
"result.292",63943,0.7,0.8
"result.293",64161,0.75,0.85
"result.294",64195,0.55,0.85
"result.295",64694,0.7,0.9
"result.296",64842,0.75,0.8
"result.297",65034,0.8,0.85
"result.298",65087,0.4,0.8
"result.299",65213,0.75,0.8
"result.300",65505,0.65,0.85
"result.301",65765,0.7,0.85
"result.302",65987,0.7,0.85
"result.303",66125,0.45,0.8
"result.304",66214,0.8,0.85
"result.305",66252,0.5,0.8
"result.306",66552,0.75,0.95
"result.307",66559,0.5,0.8
"result.308",66841,0.65,0.9
"result.309",66909,0.75,0.95
"result.310",66922,0.55,0.9
